Proj_Own,Spread,Total,L3_Air_Yards,L3_Targets,L3_Rush_Att,L3_Pass_Air_Yards,L3_Pass_Att,L3_CPOE,L3_WOPR,L3_Target_Share,L3_Air_Yards_Share,L3_Rush_Share,Own
0.5,6.5,55,49,3.67,0,0,0,0,0.3,12.2,17.2,0,0
0.7,-2.5,55.5,43.33,3,0,0,0,0,0.26,10.2,15,0,0
0.1,2.5,42.5,24.33,3,0,0,0,0,0.18,8.8,7.5,0,0
0.1,2.5,46,19,1.67,0,0,0,0,0.13,5.2,7.1,0,0
9,-7,44,51.67,5,0,0,0,0,0.36,16.3,16.6,0,6.66
0.6,-3.5,43.5,43,4.33,0,0,0,0,0.31,13.5,15.1,0,0
0.7,1,48.5,31.33,3,0,0,0,0,0.23,9.6,12.1,0,0
1.1,7.5,46,22,2.33,0,0,0,0,0.15,6.2,8.1,0,0
1.3,1,48,17.67,2.67,0,0,0,0,0.16,7.4,6.3,0,0
0.4,1.5,52,16.33,2.67,0,0,0,0,0.14,7,5.7,0,0
0.4,3,51.5,11,2.33,0,0,0,0,0.13,6.6,4.5,0,0
0.2,-3.5,50,6.67,1.67,0,0,0,0,0.08,4.4,2.4,0,0
0.3,-2.5,51.5,5.33,1.33,0,0,0,0,0.07,3.7,2.2,0,0
0.1,4,48.5,9.67,2,0,0,0,0,0.12,5.8,4.4,0,0
0.6,-3,51.5,12.33,1.33,0,0,0,0,0.11,4,7.2,0,0
5,-2.5,41.5,68,8.67,0.33,0,0,0,0.57,25.5,27.5,6.7,2.22
2.6,-8.5,47,85.67,9.33,0.33,0,0,0,0.63,27,31.8,6.7,2.22
3.6,6,43.5,96.33,9.33,0.33,0,0,0,0.7,29,37.6,6.7,0
4.6,7.5,42.5,117,12.33,0,0,0,0,0.78,33.1,39.7,0,2.22
16.9,8,48,85.67,11,0,0,0,0,0.7,31.3,32.5,0,22.21
25,-3,44.5,68.33,9,0,0,0,0,0.6,28.4,25,0,37.77
16.2,-1,52.5,73,8.67,0,5,0.33,-59,0.47,21.3,21.4,0,17.77
20.3,1,48.5,85,11.67,0,5,0.33,-59,0.6,28.2,25.9,0,15.54
19.6,10,47,65.33,9.67,0,5,0.33,-59,0.53,25.2,22.5,0,24.44
17.4,4.5,51,61.33,12.33,0,0,0,0,0.59,29.4,21.5,0,11.9
6.5,2.5,47,60,12,0,0,0,0,0.57,27,23.6,0,2.22
13.2,1,49,81.33,13.33,0,0,0,0,0.6,26.8,28,0,14.28
0.7,7.5,41.5,1,2.33,6,0,0,0,0.11,7.5,0.3,22.3,0
5.9,7,47,-4,3.33,6,0,0,0,0.19,13.2,-0.9,19.1,4.44
0.7,7,43.5,-4.33,5.67,7.67,0,0,0,0.26,17.5,-1,24.5,0
0.3,3,44,1.67,3.67,7.33,0,0,0,0.3,19.3,1.1,23.1,0
0.3,4,41,1,1.67,6.67,0,0,0,0.16,10.5,0.5,23.5,0
8,-7,44,2.33,5,2.67,0,0,0,0.27,17.6,1,30.8,8.89
0.5,-7,49,13.33,4.33,2,0,0,0,0.18,10.2,4,9.7,0
4.2,2,46,66,9.33,1,0,0,0,0.55,24.8,25.3,5.4,2.22
3,1.5,46.5,65.33,8,2,0,0,0,0.57,25.3,27.6,6.4,2.22
8.4,13.5,49.5,31.33,6.33,2.33,0,0,0,0.45,22.4,16.4,6.8,6.67
4.9,-7,45,37,6,2.33,0,0,0,0.42,20.2,17.5,7.6,0
4.6,-3.5,46.5,89,6.67,2,0,0,0,0.5,20.1,29,11.5,0
13.2,3,55,85.33,7.67,2.67,0,0,0,0.44,19,22.6,10,13.32
13.3,5,44.5,45,9.67,1.67,0,0,0,0.41,20.4,15.5,6.9,4.76
18.3,-2.5,49,68.33,11,1.33,0,0,0,0.62,28.7,26.5,5.8,26.66
0.1,-2.5,41.5,14.67,2.67,3.67,0,0,0,0.14,7.1,4.3,12.3,0
0.3,1,50,3.67,5,0.67,0,0,0,0.17,11.1,0.7,3.9,0
0.5,12.5,49,4.67,3.33,1,0,0,0,0.15,9.5,1.5,5.2,0
19.4,-4.5,50,-0.33,1.67,3.33,0,0,0,0.11,7.3,-0.3,16,31.1
13.8,-7.5,49.5,-3.67,3.33,7,0,0,0,0.12,8.4,-1.4,43.9,2.22
5.4,6.5,45.5,-2.33,4,12,0,0,0,0.14,9.9,-0.7,44.9,0
9.4,2,48,3.33,5.33,12,0,0,0,0.21,13.5,0.9,49,4.44
4,-6.5,45,9.67,5.33,10.67,0,0,0,0.23,13.7,2.8,45,0
2.5,10.5,43,9,5,8.33,0,0,0,0.22,13.6,2.5,48.4,2.22
7.8,-3,44,0.33,3.33,9.67,0,0,0,0.14,10.1,-0.9,59.2,16.67
0.1,7.5,44,7.33,2.33,0,0,0,0,0.12,6.6,2.8,0,0
0.3,1,51,5.33,2,0,0,0,0,0.09,5.4,1.9,0,0
2.9,7,48.5,0,0,0,0,0,0,0,0,0,0,0
6.2,-7,41.5,5,2,0,0,0,0,0.11,6.2,2.2,0,6.67
3.5,9.5,49.5,14.67,4,0,0,0,0,0.27,13.9,9.2,0,0
1.3,5,44.5,28,5.33,0,0,0,0,0.36,17,14.6,0,2.38
3.5,3,43.5,53.33,5.33,0,0,0,0,0.4,14.6,25.6,0,2.38
6.9,-8.5,47,71.33,9.33,0,0,0,0,0.61,29,25.6,0,6.67
18.1,11,54.5,69.67,9,0,0,0,0,0.56,23,30.2,0,26.65
15.1,-7,46,77,8.33,0,0,0,0,0.6,25.4,32,0,8.88
13.6,20,49,57.33,7.33,0,0,0,0,0.5,22.7,22.5,0,17.77
13.1,10,51.5,49.33,7.33,0,0,0,0,0.47,21.7,20.2,0,4.44
26,-3.5,56,88.33,11.33,0,-1,0.33,13,0.55,25.2,25.3,0,40.47
15.9,-7.5,51.5,112,10.33,0,-0.67,0.67,-23,0.58,24.2,30.6,0,11.91
0.9,4,48.5,-2.67,3,7.67,0,0,0,0.12,8.3,-1.4,30.3,0
0.8,-3,51.5,3.33,1.33,10,0,0,0,0.07,3.9,1.9,40.4,0
1.4,7,49.5,4.67,1.67,11.33,0,0,0,0.09,5,2,42.6,0
0.4,-5.5,41,4.67,1.67,11,0,0,0,0.09,5,2,35.7,0
0.6,9.5,49.5,-1.33,2,9.67,0,0,0,0.08,5.3,-0.6,32.7,0
0.5,3.5,49.5,-2.33,1.67,9,0,0,0,0.09,6.6,-1.9,31.2,0
0.5,-17,36.5,-6,1.33,10.33,0,0,0,0.07,7.3,-6,33.1,0
1.1,-2.5,46,-6,1,13.33,0,0,0,0.07,7.9,-7.3,37,0
0.4,-7.5,43,-6.67,1.67,12,0,0,0,0.07,7.1,-5.1,30.1,0
1.7,-7.5,48.5,0,0,0,0,0,0,0,0,0,0,0
2.5,10.5,51,0,0,2,356,33,-1,0,0,0,8,6.67
2.8,-7.5,53,0,0,2.5,353.5,38,-0.5,0,0,0,10,0
1.5,-7,44,49.67,5.67,0,0,0,0,0.32,14.6,14.9,0,0
0.6,7,44.5,41.67,4.67,0,0,0,0,0.27,12.4,12.5,0,0
1,1,50,35.67,3.33,0,0,0,0,0.2,8.7,10.1,0,0
1.1,6.5,55,46,5.33,0,0,0,0,0.29,13.1,13.7,0,0
3.1,-7,49,32.67,5.67,0,0,0,0,0.29,13.9,11.4,0,0
1.9,13.5,47,34.67,6.33,0,0,0,0,0.32,15.8,12,0,0
1.9,-11,47,34,5.33,0,0,0,0,0.3,13.6,13,0,8.89
3.1,-7.5,48.5,43.67,4.67,0,0,0,0,0.31,13.4,15.8,0,2.38
1.1,10.5,51,47,4.33,0,0,0,0,0.31,13,16.5,0,0
1.3,-7.5,53,47,5,0,0,0,0,0.31,14,14.4,0,0
4.9,7,48.5,115.33,9.67,0.33,0,0.33,64,0.73,30.1,40,4.5,4.44
16.6,7.5,46.5,128,12.33,0.33,0,0,0,0.84,34.3,46.8,4.5,13.32
28.5,4.5,55.5,75.67,11,0,0,0,0,0.75,33.9,34.2,0,31.1
7.2,-3,52.5,81,12.33,0,0,0,0,0.76,35.4,32.8,0,2.22
10.6,-7,48.5,69.67,10,0,0,0,0,0.64,30.6,25.7,0,11.11
11.9,-3.5,55.5,61.33,8,0,0,0,0,0.61,28.5,26.1,0,8.88
14.8,6,49,92,9,0,0,0,0,0.62,27.9,28.9,0,6.66
14.9,3,55.5,80.67,7.67,0,0,0,0,0.55,25.1,25.1,0,19.99
8.7,-1,51,76,8,0,0,0,0,0.58,23.8,31.3,0,0
4,-2.5,49,87,9.33,0,0,0,0,0.66,26.9,36.4,0,11.11
5.4,-3,47,63,9.67,0,0,0,0,0.57,26.1,25.8,0,4.76
0.4,2.5,42.5,12.33,2,1,0,0,0,0.09,4.8,2.6,3.8,0
0.1,2.5,46,-2,1.33,4,0,0,0,0.06,4.3,-0.9,13.6,0
0.5,-3.5,43.5,-0.67,1,5,0,0,0,0.07,5,-0.6,18.1,0
0.4,2,45,16.33,1.67,3.33,0,0,0,0.14,6,7.1,20.4,0
0.3,-5.5,41,10,2.67,2.33,0,0,0,0.13,6.8,3.4,15.1,0
0.4,6.5,46.5,2,2.33,1.67,0,0,0,0.1,6.1,0.8,8.8,0
0.2,3,44,5.67,2,5.67,0,0,0,0.14,7.6,3.2,32.7,0
0.3,-1,46,4.67,1.33,8,0,0,0,0.12,6.5,3.1,38.4,0
1.3,7,47,7.33,2,0,0,0,0,0.16,8.4,4.3,0,0
1.2,-7.5,49.5,17.33,2,0,0,0,0,0.17,8,6.9,0,0
0.2,-14.5,45,20.67,2.67,0,0,0,0,0.22,10.7,9.1,0,0
0.5,12.5,49,12.67,2,0,0,0,0,0.16,8.3,5.2,0,0
0.3,-10.5,46.5,14,2.33,0,0,0,0,0.15,8.1,4.3,0,0
0.2,4,44,18.67,2.33,0,0,0,0,0.18,8.3,7.5,0,0
0.3,1,48,40.33,4.33,0,0,0,0,0.36,15.3,18.7,0,0
1.7,1,48.5,37,3.33,0,0,0,0,0.28,11.6,14.8,0,4.44
9.3,7.5,46,31.33,4,0,0,0,0,0.3,13.8,13,0,7.68
3.9,-3.5,49,36.67,5.33,0.33,0,0,0,0.33,16.2,13.1,7.1,8.89
2.2,1,48,31.33,5,0.67,0,0,0,0.29,14.1,11.2,4.9,2.22
1.9,1.5,52,25.33,3.67,0.33,0,0,0,0.22,10,10.6,2.7,2.22
2.2,3,51.5,31,4,0,0,0,0,0.25,11,12.4,0,0
2.9,-3.5,50,44,4.67,0,0,0,0,0.3,12.4,15.7,0,0
0.4,1,49.5,5,1.33,19,0,0,0,0.09,4.8,2.2,68.6,0
0.1,11,48.5,10,2.67,11.33,0,0,0,0.19,9.7,6.9,39,0
0.4,16.5,49.5,12.67,3,10.33,0,0,0,0.2,9.5,8.1,36.4,0
1.9,6.5,39.5,96,7.33,0,7,0.33,58,0.64,26.4,35.2,0,0
1.4,-5.5,42.5,111.67,9.33,0,0,0,0,0.7,28.5,39.3,0,0
2.9,1.5,46.5,119.33,8.67,0,0,0,0,0.69,26.9,41.5,0,4.44
5.9,-3,53,95.33,6,0,0,0,0,0.43,15,29.6,0,8.88
1.5,4,41,47,3.67,0,0,0,0,0.31,12.6,17.4,0,2.22
7.5,-3,55,26.67,3.67,0,0,0,0,0.29,14.2,11.2,0,13.32
1.4,7,43.5,2,5.67,3,0,0,0,0.28,17.6,2.1,9.2,0
1.4,3,44,-8.67,7.33,3.33,0,0,0,0.32,23.9,-5.2,11.4,0
2.6,4,41,-13.67,6,2.33,0,0,0,0.25,20.2,-8,12.6,2.22
1.4,-2.5,49.5,-1.67,4,1.33,0,0,0,0.23,15.5,-0.1,5.4,0
6.9,-1,51,-11.33,5.33,2.33,0,0,0,0.22,16.7,-5.1,13.4,0
2.1,2.5,47,-9,4,3.33,0,0,0,0.17,13.8,-5.4,19.2,0
4.7,7,47,109.67,8,0,0,0,0,0.66,24.1,42.8,0,8.89
2.7,7.5,45,108.67,7.33,0,0,0,0,0.66,25.3,39.9,0,2.22
14.4,3.5,56.5,104,7.33,0,0,0,0,0.73,28.1,44.3,0,22.2
4,1,48.5,106,6.67,0.67,0,0,0,0.77,28.9,48.5,5.3,0
5.6,3,50,100.67,7.67,1,5.67,0.33,40,0.7,27.2,41.3,4.1,0
0.4,-7.5,49.5,69.33,6.33,0,0,0,0,0.4,15.7,23.7,0,0
1.1,4,46.5,77.33,6.33,0,0,0,0,0.47,18.3,28.4,0,0
16.2,3.5,52.5,72.67,6,0,0,0,0,0.48,19.4,26.6,0,24.42
9.6,6.5,55,68,5.33,0,0,0,0,0.43,17.2,24.4,0,6.66
12.5,4,52,67.33,6.67,0,0,0,0,0.46,20.8,21.6,0,12.82
9.1,-2.5,55.5,71.67,8,0,0,0,0,0.5,22.8,22.2,0,8.88
7.8,-7,49,79.67,10,0,0,0,0,0.59,27.2,25.9,0,13.32
10.8,4.5,46,78,9,0,0,0,0,0.59,25.8,29.4,0,0
14.2,-2.5,49.5,72,8.67,0,0,0,0,0.63,27.2,31.1,0,17.77
26.4,-3.5,50,53,6,0,0,0,0,0.46,21.3,20.7,0,28.88
4,-1.5,48,0,0,2.33,244.33,37.33,2.33,0,0,0,7.9,6.66
1.1,7.5,47,0,0,2.33,259.33,37.67,-1,0,0,0,7.9,2.22
0.7,6,43.5,0,0,2,291.33,40.33,2.33,0,0,0,9.7,2.22
3.9,-3,52.5,0,0,2,242,37.33,4.33,0,0,0,11.4,4.44
11.2,2.5,53.5,0,0,1.67,225,38,6.67,0,0,0,9.4,13.33
2.6,2,45,0,0,2.33,206.67,34.67,5.33,0,0,0,8.9,5.12
3.8,7,49.5,0,0,4.33,247.33,35.67,2.67,0,0,0,14.9,6.66
2.3,10,51.5,0,0,5,210.33,29.33,2.33,0,0,0,21.5,2.22
3.7,-6,49.5,0,0,3,211,35,8.33,0,0,0,15.1,2.22
3,3,50,0,0,3.33,194,33.67,7.33,0,0,0,16.6,2.38
3.5,4,46,0,0,2.33,233.33,36.67,3.67,0,0,0,11.4,4.76
2.7,-5.5,41.5,29,3.67,0,0,0,0,0.24,11,10.7,0,2.22
16.7,7.5,46.5,39.67,5,0,0,0,0,0.35,16.3,15,0,26.65
10.9,7.5,45,52,6.67,0,0,0,0,0.47,22.1,20,0,19.99
8.5,-14.5,45,63.33,8,0,0,0,0,0.54,24.2,24.7,0,11.11
3.5,-7,45,46.67,6.67,0,0,0,0,0.41,18.3,18.7,0,0
2.8,2,42.5,36.67,5,0,0,0,0,0.36,14.3,20.2,0,5.12
2.9,-1,44.5,31.33,4,0,0,0,0,0.29,11.1,17.9,0,0
2.3,3,43,36.33,4,0,0,0,0,0.36,14.4,21.2,0,0
3.7,2.5,46,37.67,4.67,0,0,0,0,0.37,14.8,20.5,0,8.89
11.6,2,48,49,5.33,0,0,0,0,0.39,15.3,22.8,0,8.88
8.7,3,43.5,36,6,0.67,9.33,0.33,61,0.42,19.3,18.8,3.1,0
0.1,4,48.5,39,5.33,0,0,0,0,0.24,12.2,8.3,0,0
2,-3,55,11,2.67,0,0,0,0,0.13,6.6,3.9,0,5.12
0.3,-3.5,51.5,12,2.67,0,0,0,0,0.13,6.9,4.4,0,0
0.7,-6,49.5,10.67,1.33,0,0,0,0,0.08,3.7,3.1,0,0
1.4,-3.5,56,31,3,0,0,0,0,0.16,7.1,8.1,0,0
3.9,-1.5,48,0,0,1.33,205.33,36.33,8,0,0,0,5,2.22
0.7,7,47,0,0,1.33,193,34.67,10.33,0,0,0,6,0
3.4,-3,53,0,0,1.67,231.33,35,8.33,0,0,0,8.8,0
2.8,11,54.5,0,0,3,261.33,40.33,6.33,0,0,0,11.7,0
2.7,-3.5,51.5,0,0,2.67,263.33,37.33,6.33,0,0,0,10.8,0
8,1,48,0,0,2.67,286,39,2.33,0,0,0,10.6,2.22
3.5,-1,52.5,0,0,3,242.33,32,2,0,0,0,8.6,8.89
4.6,3.5,50.5,0,0,3,245.67,29.33,-3,0,0,0,9.1,4.44
10.4,-3.5,53,0,0,2,245.67,26.67,2.67,0,0,0,6.4,2.38
6.4,-7.5,48,0,0,1.33,233.33,31,4.67,0,0,0,5.7,6.66
1.5,-2.5,51.5,0,0,1.33,326.67,38.67,3.33,0,0,0,8,0
0.2,-3,44,10.33,5.67,14,0,0,0,0.24,14.6,2.9,57.4,0
0.3,13.5,49.5,12.67,4.33,10,0,0,0,0.27,15.5,5.5,50.2,0
4,7.5,52,9,4.67,9.67,0,0,0,0.28,17.2,3.2,43.8,4.44
6.5,2,42.5,-5.33,2.67,11,0,0,0,0.15,12.2,-4.2,48.4,17.94
2.3,-8.5,47,64.33,6,0.33,0,0,0,0.5,18.9,30.8,2.9,0
4,-3.5,56,42.33,6,0,0,0,0,0.38,16.8,18.6,0,2.38
3.2,-7.5,51.5,47.67,6.67,0,0,0,0,0.38,18.1,15.5,0,0
5.4,7,48.5,0,0,2,173.33,32,1,0,0,0,7.4,6.67
3.7,8.5,50.5,0,0,1.33,194,36.33,-2,0,0,0,5.3,2.22
0.4,3,44,0,0,1,175.67,29.67,-8,0,0,0,4.9,0
0.9,7,48.5,0,0,0,0,0,0,0,0,0,0,0
0.5,-7,41.5,29,5,3,0,0,0,0.32,15.6,12.9,12,0
9.7,-3,44,17.5,3,3,0,0,0,0.21,9.7,8.7,11.6,8.89
6.1,8.5,50.5,13.67,4.33,10.33,0,0,0,0.22,11.5,6.2,41.6,2.22
1.3,3,44,15.33,5,7,0,0,0,0.24,13.4,6.1,30.8,0
1.2,1,54.5,12.33,2.33,3.33,0,0,0,0.21,10.4,7.2,10.2,0
2,9.5,49.5,7.33,2.67,6,0,0,0,0.19,10.9,4.1,31,2.22
0.2,5,44.5,11.33,3.67,11,0,0,0,0.18,9.8,4.3,52.3,0
21.3,1,45,81.33,11.67,0,0,0,0,0.75,35.9,30.4,0,39.99
19.8,-3,55,123,15.33,0,0,0,0,0.92,42.3,40.9,0,28.19
24.2,-2.5,55.5,103.67,14.33,0,0,0,0,0.82,38.6,34.7,0,28.88
20.3,5.5,47,124.67,14.33,0,0,0,0,0.91,40.3,44.3,0,8.89
19.5,13.5,47,137,13.33,0,0,0,0,0.98,39.3,55.2,0,6.67
18.2,1.5,52,115.67,12,0,0,0,0,0.87,35.7,48.1,0,26.67
20.7,8,50,88,9.67,0,0,0,0,0.72,30.3,37.2,0,11.11
24.7,-9.5,55.5,98.67,9.67,0,0,0,0,0.71,30.7,35.8,0,33.33
2.6,7,47,62,8,0,0,0,0,0.57,26.3,24.7,0,0
2.2,7.5,45,50.33,6,0,0,0,0,0.42,19.9,17.4,0,2.22
8.5,3.5,56.5,40.33,4.33,0,0,0,0,0.36,16.5,15.4,0,4.44
1.5,1,48.5,37.67,4.33,0,12.33,0.33,69,0.39,18.5,16.4,0,0
6.8,3,50,67.33,6.33,0,12.33,0.33,69,0.49,21.6,23.7,0,0
5,-4.5,50,72,6.67,0,12.33,0.33,69,0.52,21.8,28.2,0,2.22
8.1,1,48,56.33,6.67,0.67,6.33,0.33,60,0.47,21.2,22.1,9.5,6.66
6.9,4.5,46,40,7.33,0.67,6.33,0.33,60,0.63,28,30.1,9.5,0
3.2,2.5,45.5,46,7.33,0.67,6.33,0.33,60,0.69,30.6,32.7,9.5,2.22
4,-7.5,48.5,44.33,6,0.33,0,0,0,0.63,27.1,32.1,2.6,4.76
8.1,4,54,60,6,0.33,0,0,0,0.6,26.1,30.5,2.6,6.66
0.2,7.5,44,20,3,0,0,0,0,0.24,9.7,13.1,0,0
0.1,-10.5,46.5,17.67,2.33,0,0,0,0,0.18,7.4,9.7,0,0
0.1,-4.5,45,33.67,4,0,0,0,0,0.22,10,9.6,0,0
0.4,2.5,45.5,48.67,5.33,0,0,0,0,0.31,13.7,14.6,0,0
1.2,6,41,65,6,0,0,0,0,0.43,18.8,21.7,0,0
1.4,4,46.5,36.67,3.67,0,0,0,0,0.31,12.6,17.5,0,0
5.8,7.5,44,48.67,4.67,0,0,0,0,0.33,12.9,19.3,0,6.67
9.5,3,50,50,6,0,0,0,0,0.39,16.4,20.3,0,10.25
3.5,1,51,43,5.67,0,0,0,0,0.4,18.2,18.7,0,0
1.8,4,44,45,6,0,0,0,0,0.4,16.8,20.8,0,0
1.7,-14,44,41,5.67,0,0,0,0,0.37,16.3,17.9,0,0
3.7,6.5,45.5,41.67,6.33,0,0,0,0,0.33,15,15.5,0,0
7.3,-11,47,33.67,5.67,0,0,0,0,0.28,14,10.6,0,0
0.1,4,48.5,116.33,9,0,0,0,0,0.64,26.4,34.4,0,0
14.4,7.5,47,101.33,7.67,0,0,0,0,0.6,24.9,32.9,0,11.1
2.2,-6,42.5,101,8.33,0,0,0,0,0.61,24.6,34.1,0,6.67
7.4,7.5,42.5,51.67,6,0,0,0,0,0.39,17.1,19.6,0,0
4.2,-3,55,60.33,7,0,0,0,0,0.37,16.9,17.2,0,7.69
2.3,-3.5,51.5,56.67,6.33,0,0,0,0,0.35,15.7,16.4,0,2.22
2.4,-6,49.5,59,5,0,0,0,0,0.31,12.9,16.1,0,0
4.7,-3.5,56,92.67,8.67,0,0,0,0,0.5,21.4,25.3,0,2.38
3.4,7,52.5,124,9.67,0,0,0,0,0.58,23.3,32.9,0,0
11.5,2.5,42.5,146.67,11.33,0,0,0,0,0.8,30.1,49.2,0,13.32
6.5,4.5,42.5,161.33,11.67,0.33,0,0,0,0.78,29.8,47.4,3.6,6.66
11.8,2.5,46,127,10,0.33,0,0,0,0.79,31.2,45.4,3.6,19.99
3.5,-3.5,43.5,113.33,10.33,0.33,0,0,0,0.66,27.9,34.3,3.6,0
6.7,2,45,123.67,13,0,0,0,0,0.68,29.5,33.7,0,12.81
2.7,-5.5,41,86,9.67,0,0,0,0,0.58,24.5,30.1,0,0
9.3,6.5,46.5,71,6.67,0,0,0,0,0.43,17.5,23.9,0,0
15.4,3,44,78.67,10.33,0,0,0,0,0.58,26.4,26.6,0,2.22
11,-1,46,78.33,9.67,0,0,0,0,0.62,27.3,30.3,0,9.52
1.1,-1.5,48,2,1,0,0,0,0,0.04,2.5,0.5,0,0
22.1,3,53,86.67,9.33,0,0,0,0,0.59,24.7,31.5,0,31.1
21.9,5.5,58,114.67,11.67,0,0,0,0,0.65,28.1,33.3,0,17.77
15.6,3.5,56.5,116.67,11.67,0,0,0,0,0.63,26.1,34.4,0,22.21
15.7,7.5,52,121,12.33,0,0,0,0,0.54,22.7,28.3,0,17.77
1,-1,44.5,68.33,10,0.33,0,0,0,0.42,19.6,18,3.3,0
1,-14,44,51.33,7.33,0.33,0,0,0,0.49,21.9,22.8,3.8,0
9.7,7,50,51.67,6,0.67,0,0,0,0.47,20.9,22,3.5,13.32
1.6,-3,44,63.33,7.33,0.67,0,0,0,0.45,19.6,22.3,3.4,0
4.3,7.5,41.5,117,8,0,0,0,0,0.45,17.4,26.6,0,2.22
0.3,-5.5,42.5,122.33,8.67,0,0,0,0,0.51,19.9,29.5,0,2.22
16.5,-4.5,55,59,5.67,0,0,0,0,0.45,18.2,25.9,0,13.32
5.5,8.5,50.5,73.67,8.33,0,0,0,0,0.54,22.6,28.9,0,8.89
13,9.5,46,62.67,6.67,0,0,0,0,0.49,20.5,26.5,0,10.25
3.4,-3.5,46.5,68.33,7.67,0,0,0,0,0.51,21.8,25.6,0,2.22
4.8,6,49,40.67,4.33,0,0,0,0,0.36,15.9,17.6,0,4.45
13.9,1,48.5,50.33,5.67,0,0,0,0,0.47,21.2,22.3,0,33.32
7.2,-4,46,54.33,5.33,0,0,0,0,0.48,21.7,22.1,0,4.45
9.6,-7.5,46,80.33,7.67,0,0,0,0,0.61,26.8,30.2,0,33.32
10.4,10.5,43,103.67,10,0,0,0,0,0.7,29.8,36.8,0,6.67
5,-7.5,51.5,93.67,10.33,0,0,0,0,0.63,27.1,31.9,0,7.14
0.1,-1.5,48,62,7,0.67,0,0,0,0.44,20.3,19.2,5.3,0
0.1,7,47,34.67,3.67,0,0,0,0,0.23,10.1,11.9,0,0
2.3,-3,53,19.33,1.67,0,0,0,0,0.14,5.3,9.1,0,2.22
1.6,11,54.5,25.67,2.67,0,0,0,0,0.18,7.1,9.9,0,0
0.3,-3.5,51.5,38,3,0,0,0,0,0.23,8.4,14.4,0,0
3.7,1,48,74,5,0,0,0,0,0.38,13.6,24.9,0,0
0.9,-1,52.5,63.67,4.33,0,0,0,0,0.36,13.6,22.3,0,0
1.1,3.5,50.5,74.33,4.67,0,0,0,0,0.42,15.7,25.9,0,0
6.3,-3.5,53,85.67,5.33,0,0,0,0,0.47,16.7,31.8,0,4.76
3.9,-7.5,48,80,6.33,0,0,0,0,0.48,17.7,30.7,0,0
1.9,-2.5,51.5,136.67,8.67,0,0,0,0,0.65,23.7,42.6,0,0
0.1,-1,51,16.33,1.67,0,0,0,0,0.13,5.4,6.8,0,0
0.2,4,54,2.67,1.33,0,0,0,0,0.08,4.6,1.2,0,0
4.2,6.5,39.5,112,8,0.67,0,0,0,0.77,27,51.9,5,0
3.4,-5.5,42.5,108,8,0.33,0,0,0,0.72,25.3,48.6,2.9,0
5.1,1.5,46.5,112.67,9.33,0.33,0,0,0,0.69,27,40.6,2.9,2.22
12.2,-3,53,94.33,9.33,0,0,0,0,0.57,25,28.5,0,13.33
12.1,-9.5,47,115.33,10.33,0,0,0,0,0.8,29.8,50.2,0,22.21
4.4,4,41,114.67,11.67,0,0,0,0,0.74,31.5,38.9,0,2.22
23.7,-3,55,102.33,9.33,0,0,0,0,0.86,36.3,45.1,0,22.21
20.2,3,55.5,109,10.67,0,0,0,0,0.85,36.1,43.3,0,15.55
21.3,4.5,51,101.33,10.67,0,0,0,0,0.79,34.8,38.9,0,16.66
0.9,-7.5,49.5,14.67,3.33,0,0,0,0,0.24,12.8,7.4,0,2.22
0.5,-14.5,45,6.33,1.67,0,0,0,0,0.12,6.7,2.9,0,0
2.2,12.5,49,6.67,1,0,0,0,0,0.08,4.1,2.7,0,0
0.6,-10.5,46.5,6,1.33,0,0,0,0,0.08,4.5,1.9,0,0
0.4,4,44,13,2,0,0,0,0,0.16,7.3,6.6,0,0
4.1,1,48,12.33,2,0,0,0,0,0.15,7.1,6.9,0,0
5.4,-1.5,48,54.67,6.67,0,0,0,0,0.56,22,32.5,0,4.44
13.7,7,47,51.33,9.33,0,0,0,0,0.62,29.8,25.2,0,13.33
20,-3,53,54.67,9.33,0,0,0,0,0.61,29.4,24.2,0,22.21
15.4,11,54.5,66,10.67,0,0,0,0,0.62,28.9,26.4,0,13.32
9,-3.5,51.5,44.33,7.67,0,0,0,0,0.43,21,16.7,0,6.67
17.7,1,48,49.67,9.33,0,0,0,0,0.5,25.2,17.5,0,6.66
12.6,-1,52.5,32.67,7.33,0,0,0,0,0.47,25.2,12.8,0,15.54
15.3,3.5,50.5,44.67,8.33,0,0,0,0,0.6,31.9,16.9,0,26.66
23.8,-3.5,53,64,7.33,0,0,0,0,0.51,25,18.8,0,23.8
13,-7.5,48,54.33,6.33,0,0,0,0,0.37,16.8,16.2,0,11.1
3.7,-2.5,51.5,72.67,10.33,0,0,0,0,0.55,26.7,20.9,0,0
6.9,7,48.5,12.33,2,14.33,0,0,0,0.15,7.1,6.7,53.6,4.44
1,8.5,50.5,16,3,13,0,0,0,0.19,9.1,8.1,51.8,0
0.2,5,44.5,14.33,3.33,13.33,0,0,0,0.2,10.1,6.6,56.6,0
1.3,3,43.5,2.67,2,12,0,0,0,0.09,5.7,0,49.7,0
1.3,2,46,-8.67,1.67,8,0,0,0,0.06,8.4,-9.1,21.7,0
0.2,1.5,46.5,-8.67,1.67,10,0,0,0,0.06,8.4,-9.1,27,0
1.2,13.5,49.5,-8.33,2,12,0,0,0,0.09,10.4,-9.3,32.9,0
0.5,-7,45,2,2.67,9,0,0,0,0.2,12.6,1.5,32.5,0
