Proj_Own,Spread,Total,L3_Air_Yards,L3_Targets,L3_Rush_Att,L3_Pass_Air_Yards,L3_Pass_Att,L3_CPOE,L3_WOPR,L3_Target_Share,L3_Air_Yards_Share,L3_Rush_Share,Own
0.7,7,51,-2,2.67,15,0,0,0,0.11,7.9,-1,59.6,0
0.3,4.5,55.5,0,1.67,12,0,0,0,0.09,6.4,-0.1,46.4,0
1.7,-3,51.5,-0.33,1.33,14.33,0,0,0,0.08,5.3,-0.4,54.4,0
2.9,-3,52.5,-1.67,1,13.33,0,0,0,0.07,4.9,-1,54.9,0
0.6,1,54,1.33,1.33,16,0,0,0,0.07,4.4,0.5,57.7,0
0.4,-3.5,49,2.33,1.33,12.33,0,0,0,0.07,4.3,0.9,48,0
0.7,3,51.5,3,1,10.33,0,0,0,0.05,3,1.1,44.2,0
0.3,2.5,46,1.33,2.33,8,0,0,0,0.09,5.7,0.5,40.2,0
11.4,-3,47,1.33,2.33,5.67,0,0,0,0.09,5.7,0.5,29,17.77
0.3,3,44,0,0.67,8.67,0,0,0,0.05,3.1,0,38.2,0
0.4,-9.5,55.5,-2.33,0.67,12.67,0,0,0,0.04,2.8,-0.7,57.2,0
0.2,2.5,42.5,26,2.67,0,0,0,0,0.18,6.8,10.4,0,0
0.1,-3.5,43.5,47,1.67,0,0,0,0,0.14,3.8,11.2,0,0
1.7,1,49.5,61.67,5.67,0,0,0,0,0.37,14.8,21.3,0,0
1,5.5,58,31.33,3.33,0,0,0,0,0.21,9.1,10.2,0,0
1.5,-4.5,55,25.67,3.67,0,0,0,0,0.22,10.4,8.5,0,0
2.7,-3.5,55.5,41.67,4.67,0,0,0,0,0.29,13.4,12.6,0,0
1.9,1,54.5,36.33,3.67,0,0,0,0,0.23,10.3,10.6,0,0
4,-3,55,23,2.67,0,0,0,0,0.15,6.9,6.6,0,4.44
3.5,3,55,24.33,3.33,0,0,0,0,0.17,8.3,6.8,0,0
1.2,2.5,42.5,69.67,8,0,0,0,0,0.48,21.4,22.5,0,0
1.3,7,51,75.67,7.67,0,0,0,0,0.46,20.1,22,0,0
0.8,4.5,55.5,56,5.67,0,0,0,0,0.41,17.8,21,0,2.22
1.9,-3,51.5,61,6,0,0,0,0,0.43,17.8,23.6,0,0
1.8,-3,52.5,46.67,4.67,0,0,0,0,0.37,15.4,20,0,0
1.2,1,54,24.67,3,0,0,0,0,0.21,9.8,9.6,0,0
1,-3.5,49,27.33,3,0,0,0,0,0.2,9.7,8.4,0,0
5.8,3,51.5,33,3.33,0,0,0,0,0.21,9.7,9.7,0,2.22
0.6,3,44,44,6,0.33,0,0,0,0.32,15.1,13.7,3.7,0
1.6,-9.5,55.5,49,6.33,0.33,0,0,0,0.32,15,13.3,3.7,2.38
6.9,1,49.5,0,0,2,322.67,40.67,2,0,0,0,9.5,8.88
11,3,53,0,0,2,351,47.67,3,0,0,0,10,6.66
3.3,2.5,46,0,0,2,380,46.33,4.67,0,0,0,6.9,2.22
8.5,2.5,53.5,0,0,2,377,40,0.33,0,0,0,9.9,13.33
4.7,3.5,53,0,0,0.67,358.67,40.33,-4,0,0,0,8,7.68
3.9,1,54,0,0,1.67,307.67,41,2,0,0,0,8.2,8.88
3.7,4.5,50,0,0,2.33,227.33,39.33,6.67,0,0,0,10,6.66
4.3,3.5,49.5,0,0,1.67,254,38,5.33,0,0,0,7.5,0
7.4,-3.5,53,0,0,1.67,308,38.33,-0.33,0,0,0,7.5,11.9
1.9,-2.5,46,0,0,0.67,295.67,41,-3.67,0,0,0,3.4,2.22
4.7,1,49,0,0,0.33,330,42.33,-8.33,0,0,0,3.4,7.14
1,-7,48.5,0,0,0.67,179.33,24.33,4.67,0,0,0,7.1,2.22
15.9,-5.5,41.5,142,9,0,0,0,0,0.64,23.1,41.4,0,15.54
1.7,2,46,178,8,0,0,0,0,0.59,19.9,41.3,0,2.22
2.7,2.5,42.5,0,0,0.67,368,39.33,2,0,0,0,10.5,0
1.5,7,51,0,0,1.67,382.67,41.67,0.33,0,0,0,17.2,2.22
3.8,4.5,55.5,0,0,2,327,38.33,0.33,0,0,0,11,2.22
